,idade,renda,situacao_moradia,tempo_trabalhado,motivo_emprestimo,score,valor_emprestimo,taxa_juros,inadimplente,razao_renda_emprestimo,devedor,tempo_historico_credito
4393,35,37000.0,Rent,2.0,Personal,B,6000.0,9.99,1,0.16,N,7
4394,27,128000.0,Mortgage,11.0,Venture,B,32000.0,11.11,0,0.25,N,7
4395,44,91000.0,Mortgage,14.0,Medical,A,7900.0,8.59,0,0.09,N,14
4396,28,75000.0,Mortgage,6.0,Homeimprovement,A,10500.0,0.0,0,0.14,N,9
4397,27,58000.0,Rent,5.0,Debtconsolidation,A,5900.0,9.32,0,0.1,N,7
4398,24,60000.0,Rent,6.0,Venture,A,10000.0,9.32,0,0.17,N,2
4399,29,49000.0,Own,0.0,Personal,A,4400.0,6.62,0,0.09,N,9
4400,55,123000.0,Mortgage,3.0,Personal,B,10000.0,10.99,0,0.08,N,26
4402,26,61000.0,Mortgage,10.0,Personal,B,12000.0,10.99,0,0.2,N,3
4404,24,100000.0,Mortgage,0.0,Debtconsolidation,C,16000.0,14.72,0,0.16,N,2
4405,28,78996.0,Mortgage,10.0,Homeimprovement,C,12000.0,13.16,0,0.15,Y,5
4406,25,79200.0,Mortgage,1.0,Personal,C,11200.0,14.79,1,0.14,Y,3
4407,21,44000.0,Rent,6.0,Venture,D,10000.0,14.74,0,0.23,Y,3
4408,43,76000.0,Mortgage,4.0,Homeimprovement,D,9150.0,16.29,0,0.12,Y,16
4409,44,100000.0,Rent,5.0,Education,A,13500.0,8.9,0,0.14,N,17
4410,62,60000.0,Mortgage,5.0,Personal,A,16000.0,8.9,0,0.27,N,19
4411,22,60000.0,Rent,0.0,Medical,B,10000.0,11.14,0,0.17,N,4
4412,41,31000.0,Rent,5.0,Medical,E,3700.0,16.32,1,0.12,N,17
4413,30,66000.0,Rent,5.0,Education,D,10000.0,14.83,1,0.15,Y,9
4414,64,105000.0,Rent,8.0,Homeimprovement,E,20000.0,18.64,0,0.19,N,30
4415,23,36000.0,Mortgage,7.0,Venture,C,12600.0,15.31,0,0.35,N,4
4416,26,39000.0,Rent,1.0,Venture,D,5000.0,12.92,1,0.13,N,16
4417,22,60000.0,Rent,3.0,Personal,B,6500.0,9.25,0,0.11,N,2
4418,38,37500.0,Rent,0.0,Education,A,1375.0,6.91,0,0.04,N,15
4419,29,40000.0,Mortgage,13.0,Personal,A,6400.0,7.51,0,0.16,N,6
4420,25,46000.0,Rent,3.0,Personal,C,6000.0,14.72,0,0.13,Y,4
4421,42,42000.0,Rent,6.0,Education,D,14500.0,15.57,1,0.35,N,14
4422,25,33600.0,Own,9.0,Venture,A,9750.0,0.0,0,0.29,N,3
4423,33,39000.0,Own,0.0,Venture,B,10000.0,12.42,0,0.26,N,7
4424,25,104000.0,Mortgage,9.0,Homeimprovement,B,14000.0,10.99,0,0.13,N,3
4425,43,40000.0,Mortgage,3.0,Medical,B,18000.0,11.83,0,0.45,N,15
4426,35,75000.0,Mortgage,1.0,Debtconsolidation,A,9000.0,5.79,0,0.12,N,9
4427,27,108000.0,Mortgage,11.0,Education,B,21600.0,0.0,0,0.2,N,10
4428,29,30992.0,Mortgage,3.0,Education,B,8000.0,11.58,1,0.26,N,9
4429,22,53832.0,Mortgage,2.0,Medical,C,11700.0,12.87,0,0.22,N,2
4430,30,30000.0,Rent,4.0,Homeimprovement,D,6500.0,15.65,1,0.22,Y,6
4432,25,95000.0,Rent,3.0,Debtconsolidation,A,7100.0,6.99,0,0.07,N,2
4433,24,50000.0,Mortgage,3.0,Venture,A,15000.0,8.9,0,0.3,N,2
4434,26,135000.0,Mortgage,10.0,Debtconsolidation,C,24000.0,12.99,0,0.18,N,2
4435,29,85000.0,Mortgage,9.0,Medical,B,15000.0,10.65,0,0.18,N,9
4436,24,96500.0,Mortgage,1.0,Education,E,14000.0,17.19,0,0.15,N,4
4437,33,125004.0,Rent,3.0,Education,E,12000.0,15.68,0,0.1,N,8
4438,26,67000.0,Mortgage,4.0,Medical,A,10400.0,8.9,0,0.16,N,4
4439,27,61000.0,Rent,1.0,Venture,B,12000.0,12.21,0,0.2,N,5
4440,28,87000.0,Rent,7.0,Venture,B,6400.0,10.39,0,0.07,N,6
4441,40,31504.0,Rent,13.0,Medical,E,10000.0,0.0,1,0.32,N,13
4442,34,100000.0,Mortgage,7.0,Education,A,12000.0,7.49,0,0.12,N,6
4443,22,30000.0,Rent,7.0,Medical,A,7200.0,8.9,1,0.24,N,2
4444,56,71884.0,Own,11.0,Personal,B,7425.0,9.99,0,0.1,N,22
4445,28,49000.0,Own,6.0,Education,B,19000.0,10.99,0,0.39,N,7
4446,42,58752.0,Rent,8.0,Medical,B,3000.0,10.01,0,0.05,N,16
4447,22,47580.0,Mortgage,6.0,Medical,A,4000.0,6.62,0,0.08,N,2
4448,23,26400.0,Rent,0.0,Personal,A,4800.0,0.0,0,0.18,N,4
4449,27,60000.0,Mortgage,7.0,Medical,B,3400.0,0.0,0,0.06,N,7
4450,24,35000.0,Mortgage,2.0,Medical,A,2950.0,0.0,0,0.08,N,4
4452,28,34320.0,Mortgage,5.0,Debtconsolidation,B,16000.0,12.69,0,0.47,N,7
4453,25,73163.0,Mortgage,9.0,Venture,E,25000.0,16.45,0,0.34,N,3
4454,28,52000.0,Mortgage,11.0,Medical,A,6000.0,0.0,0,0.12,N,5
4455,36,50000.0,Rent,2.0,Debtconsolidation,A,5500.0,8.32,0,0.11,N,16
4456,21,61000.0,Rent,3.0,Education,B,7500.0,10.39,0,0.12,N,2
4457,23,30000.0,Rent,3.0,Education,B,6000.0,11.71,0,0.2,N,3
4458,24,78000.0,Mortgage,8.0,Venture,C,24000.0,15.96,1,0.31,N,4
4459,27,56000.0,Rent,2.0,Medical,B,14000.0,10.65,0,0.25,N,7
4460,22,46000.0,Rent,0.0,Debtconsolidation,B,9600.0,10.99,0,0.21,N,4
4461,43,86015.0,Mortgage,3.0,Venture,B,2200.0,0.0,0,0.03,N,16
4462,23,105999.0,Mortgage,6.0,Education,B,8550.0,9.88,0,0.08,N,2
4463,23,35292.0,Mortgage,7.0,Education,A,2100.0,7.51,0,0.06,N,2
4465,25,38000.0,Rent,8.0,Medical,C,16000.0,12.87,1,0.42,Y,3
4466,39,37200.0,Rent,1.0,Education,C,5000.0,15.62,1,0.13,N,15
4467,30,111996.0,Rent,1.0,Debtconsolidation,A,12000.0,7.49,0,0.11,N,6
4468,30,54996.0,Rent,2.0,Medical,A,4800.0,6.03,0,0.09,N,8
4469,40,71000.0,Mortgage,5.0,Education,E,7000.0,15.38,0,0.1,Y,12
4470,23,75000.0,Mortgage,7.0,Education,A,8000.0,7.05,0,0.11,N,2
4471,23,30652.0,Mortgage,4.0,Debtconsolidation,D,6000.0,14.54,1,0.2,Y,2
4472,31,67000.0,Rent,0.0,Medical,C,13000.0,13.06,0,0.19,N,10
4474,24,65000.0,Own,8.0,Venture,A,12000.0,6.17,0,0.18,N,4
4475,23,51996.0,Rent,1.0,Debtconsolidation,B,3000.0,10.37,0,0.06,N,2
4476,28,19000.0,Rent,1.0,Debtconsolidation,B,9250.0,11.49,1,0.49,N,7
4477,28,81996.0,Mortgage,12.0,Education,B,3000.0,12.42,0,0.04,N,5
4478,23,80000.0,Rent,1.0,Medical,C,14400.0,12.68,0,0.18,N,4
4479,25,26500.0,Rent,1.0,Medical,B,3000.0,10.62,0,0.11,N,3
4480,25,50000.0,Mortgage,9.0,Personal,C,20000.0,15.27,0,0.4,N,4
4481,21,29004.0,Rent,0.0,Medical,D,7500.0,0.0,1,0.26,Y,2
4482,28,100000.0,Mortgage,3.0,Education,C,10000.0,12.84,0,0.1,Y,5
4483,27,44004.0,Rent,0.0,Personal,C,5000.0,13.79,1,0.11,N,8
4484,38,36000.0,Mortgage,3.0,Debtconsolidation,C,6000.0,13.99,0,0.17,N,16
4485,32,38100.0,Mortgage,0.0,Education,A,8400.0,8.38,0,0.22,N,9
4486,30,42000.0,Rent,4.0,Venture,A,10000.0,0.0,0,0.24,N,9
4487,22,48132.0,Rent,5.0,Medical,B,10000.0,11.71,0,0.21,N,4
4488,25,116000.0,Mortgage,0.0,Education,D,35000.0,17.58,0,0.3,Y,4
4489,28,46666.66666666667,Rent,0.0,Education,B,7000.0,7.9,0,0.15,N,3
4490,29,48000.0,Mortgage,5.0,Education,C,10000.0,12.73,0,0.21,Y,7
4491,23,34000.0,Rent,2.0,Debtconsolidation,D,6000.0,14.09,1,0.18,Y,4
4492,26,37000.0,Mortgage,7.0,Education,B,8400.0,10.99,0,0.23,N,4
4494,24,90000.0,Mortgage,3.0,Venture,A,12000.0,7.51,0,0.13,N,3
4495,22,8280.0,Rent,0.0,Medical,B,2400.0,9.91,1,0.29,N,2
4497,28,42328.0,Rent,5.0,Medical,A,6000.0,8.63,0,0.14,N,7
4498,31,73100.0,Mortgage,0.0,Medical,E,16000.0,0.0,1,0.22,Y,6
4499,29,98000.0,Mortgage,13.0,Homeimprovement,B,14000.0,10.25,0,0.14,N,5
4500,29,53500.0,Mortgage,3.0,Debtconsolidation,C,5000.0,13.49,0,0.09,N,10
4501,26,89000.0,Mortgage,10.0,Homeimprovement,B,8000.0,10.99,0,0.09,N,2
4502,30,51600.0,Rent,5.0,Debtconsolidation,C,16000.0,13.49,1,0.31,N,8
4503,24,85000.0,Mortgage,3.0,Homeimprovement,A,12000.0,7.51,0,0.14,N,4
4506,26,56000.0,Rent,7.0,Personal,A,5000.0,7.91,0,0.09,N,2
4507,25,90000.0,Mortgage,9.0,Personal,A,3600.0,7.9,0,0.04,N,2
4509,27,80000.0,Rent,3.0,Personal,A,20000.0,7.49,0,0.25,N,9
4510,25,101424.0,Rent,6.0,Personal,A,2000.0,7.29,0,0.02,N,3
4511,31,24000.0,Rent,0.0,Medical,A,7000.0,7.51,0,0.29,N,7
4512,27,24000.0,Own,4.0,Education,C,4000.0,12.99,0,0.17,N,6
4513,22,37000.0,Rent,2.0,Education,B,4000.0,10.95,0,0.11,N,2
4514,30,9600.0,Rent,1.0,Debtconsolidation,C,1500.0,12.73,1,0.16,Y,8
4515,35,75000.0,Own,9.0,Venture,A,7600.0,0.0,0,0.1,N,7
4516,21,29000.0,Mortgage,0.0,Personal,B,4200.0,11.99,0,0.14,N,3
4517,27,40000.0,Rent,4.0,Debtconsolidation,B,4800.0,11.71,0,0.12,N,8
4518,26,40000.0,Rent,10.0,Personal,D,6925.0,15.99,0,0.17,N,4
4519,28,69996.0,Rent,8.0,Debtconsolidation,A,3500.0,6.62,0,0.05,N,9
4520,23,92004.0,Mortgage,7.0,Education,B,24250.0,11.12,0,0.26,N,2
4521,22,52000.0,Mortgage,6.0,Education,D,10000.0,13.87,1,0.19,Y,2
4522,38,21000.0,Mortgage,5.0,Homeimprovement,C,3000.0,13.43,0,0.14,Y,17
4523,24,100000.0,Mortgage,8.0,Homeimprovement,A,10000.0,6.54,0,0.1,N,3
4524,25,100000.0,Mortgage,9.0,Education,B,8000.0,10.25,0,0.08,N,3
4525,25,85000.0,Rent,5.0,Education,A,14400.0,8.49,0,0.17,N,2
4526,22,55000.0,Own,0.0,Venture,A,1000.0,8.59,0,0.02,N,3
4527,42,41000.0,Rent,2.0,Homeimprovement,E,15000.0,16.95,1,0.37,Y,15
4528,22,4800.0,Rent,1.0,Personal,D,1800.0,14.84,1,0.38,Y,2
4529,31,48000.0,Own,0.0,Homeimprovement,B,1600.0,9.99,0,0.03,N,8
4530,28,40000.0,Rent,3.0,Medical,B,8000.0,10.95,0,0.2,N,6
4531,33,116004.0,Mortgage,12.0,Medical,C,8200.0,13.85,0,0.07,N,9
4532,24,65000.0,Rent,5.0,Homeimprovement,A,11000.0,7.51,0,0.17,N,4
4533,24,67000.0,Mortgage,2.0,Homeimprovement,B,12150.0,10.37,0,0.18,N,3
4534,35,110000.0,Mortgage,3.0,Homeimprovement,A,10000.0,8.59,0,0.09,N,6
4535,22,59000.0,Rent,2.0,Personal,B,21000.0,10.71,1,0.36,N,3
4536,27,42000.0,Mortgage,4.0,Personal,C,2850.0,13.48,1,0.07,N,7
4537,26,126000.0,Mortgage,4.0,Homeimprovement,C,7500.0,13.92,0,0.06,N,3
4538,24,72000.0,Mortgage,2.0,Education,E,6000.0,16.77,0,0.08,Y,3
4539,24,133000.0,Own,4.0,Venture,A,4000.0,7.4,0,0.03,N,3
4540,41,21600.0,Rent,2.0,Medical,A,4000.0,7.51,0,0.19,N,14
4541,28,125000.0,Mortgage,12.0,Personal,A,30000.0,7.51,0,0.24,N,5
4542,23,28000.0,Rent,0.0,Medical,C,5000.0,11.78,0,0.18,N,4
4543,33,72000.0,Mortgage,0.0,Personal,A,5000.0,6.99,0,0.07,N,5
4544,24,60000.0,Mortgage,3.0,Venture,A,20000.0,7.88,0,0.33,N,2
4545,50,85000.0,Rent,1.0,Homeimprovement,C,17500.0,13.49,0,0.21,N,17
4546,22,40000.0,Rent,7.0,Education,B,10000.0,10.37,0,0.25,N,2
4547,32,62000.0,Mortgage,6.0,Personal,B,6000.0,11.36,0,0.1,N,6
4548,22,61000.0,Mortgage,6.0,Medical,C,12000.0,13.49,0,0.2,N,4
4550,26,48000.0,Rent,0.0,Education,C,9600.0,12.73,0,0.2,Y,3
4551,24,26000.0,Mortgage,8.0,Medical,A,7000.0,7.74,0,0.27,N,2
4552,28,18000.0,Own,2.0,Medical,C,6350.0,13.57,1,0.35,N,5
4553,34,36000.0,Rent,5.0,Debtconsolidation,A,14000.0,7.51,1,0.39,N,6
4554,39,70000.0,Mortgage,6.0,Education,A,10000.0,6.17,0,0.14,N,15
4556,27,89000.0,Mortgage,11.0,Education,D,2800.0,14.96,0,0.03,Y,10
4557,25,69000.0,Mortgage,3.0,Venture,A,6000.0,7.88,0,0.09,N,2
4559,27,50000.0,Mortgage,11.0,Personal,C,7500.0,11.59,0,0.15,Y,6
4560,22,29554.0,Mortgage,0.0,Debtconsolidation,A,5775.0,5.42,1,0.2,N,3
4561,28,34200.0,Rent,8.0,Personal,A,7500.0,8.94,0,0.22,N,7
4562,28,112000.0,Rent,1.0,Medical,B,6000.0,12.69,0,0.05,N,8
4564,37,90000.0,Mortgage,11.0,Debtconsolidation,A,4000.0,6.62,0,0.04,N,15
4565,26,70000.0,Mortgage,10.0,Personal,B,8000.0,10.0,0,0.11,N,2
4566,27,98000.0,Rent,3.0,Venture,C,5000.0,13.98,0,0.05,Y,6
4567,23,39000.0,Rent,6.0,Education,B,5000.0,12.69,0,0.13,N,3
4568,29,70000.0,Other,1.0,Personal,B,5000.0,11.14,0,0.07,N,6
4569,23,75000.0,Own,8.0,Education,A,8000.0,6.17,0,0.11,N,2
4570,42,74000.0,Mortgage,1.0,Personal,C,16000.0,12.73,0,0.22,N,16
4571,56,59200.0,Rent,1.0,Debtconsolidation,C,10000.0,13.61,0,0.17,Y,20
4572,24,130000.0,Mortgage,3.0,Debtconsolidation,B,5000.0,12.42,0,0.04,N,2
4573,29,75000.0,Own,3.0,Homeimprovement,A,6400.0,11.49,0,0.09,N,8
4574,44,60000.0,Mortgage,4.0,Homeimprovement,B,15000.0,0.0,0,0.25,N,11
4575,23,14000.0,Own,2.0,Debtconsolidation,D,4000.0,0.0,1,0.29,N,3
4576,23,69996.0,Own,2.0,Venture,B,10000.0,0.0,0,0.14,N,3
4577,24,74600.0,Mortgage,3.0,Debtconsolidation,E,20000.0,17.51,1,0.27,N,3
4579,29,64500.0,Rent,5.0,Medical,A,10000.0,8.94,0,0.16,N,7
4580,22,54000.0,Mortgage,5.0,Medical,B,7000.0,10.65,0,0.13,N,2
4581,24,39996.0,Rent,1.0,Medical,B,16000.0,10.71,1,0.4,N,2
4582,39,23500.0,Rent,14.0,Personal,D,5850.0,15.2,0,0.25,N,12
4583,38,76000.0,Mortgage,4.0,Personal,A,9000.0,5.99,0,0.12,N,12
4584,22,18000.0,Own,1.0,Education,D,5400.0,15.31,1,0.3,Y,4
4585,22,44400.0,Rent,3.0,Venture,C,12800.0,12.73,0,0.29,N,4
4586,38,53052.0,Rent,0.0,Education,B,8000.0,0.0,0,0.15,N,15
4587,25,45000.0,Rent,0.0,Debtconsolidation,C,10000.0,12.98,0,0.22,Y,3
4588,35,66560.0,Mortgage,11.0,Venture,A,4200.0,5.79,0,0.06,N,10
4589,25,44000.0,Mortgage,7.0,Homeimprovement,A,5000.0,7.4,0,0.11,N,3
4590,23,76500.0,Rent,3.0,Debtconsolidation,B,18000.0,10.65,1,0.24,N,4
4591,24,36500.0,Mortgage,3.0,Education,B,2500.0,10.37,0,0.07,N,3
4592,48,66000.0,Rent,6.0,Homeimprovement,B,6000.0,11.89,0,0.09,N,16
4593,27,85500.0,Rent,1.0,Homeimprovement,D,11000.0,15.99,1,0.13,Y,5
4594,21,18000.0,Rent,1.0,Personal,A,3200.0,8.49,1,0.18,N,3
4595,28,138600.0,Mortgage,10.0,Debtconsolidation,C,12000.0,12.99,0,0.09,N,7
4596,24,78000.0,Mortgage,8.0,Debtconsolidation,A,3600.0,5.42,0,0.05,N,4
4597,44,28000.0,Rent,15.0,Education,A,8000.0,7.49,0,0.29,N,11
4598,31,75000.0,Mortgage,8.0,Venture,B,15600.0,11.83,0,0.21,N,5
4599,26,40000.0,Rent,1.0,Medical,C,5000.0,14.26,0,0.12,Y,2
4600,21,25500.0,Rent,6.0,Education,C,2000.0,13.47,0,0.08,N,2
4601,22,54000.0,Rent,2.0,Education,B,20000.0,9.91,1,0.37,N,4
4602,23,30000.0,Rent,0.0,Medical,B,4000.0,10.36,0,0.13,N,4
4603,31,51000.0,Rent,5.0,Personal,B,9000.0,10.99,0,0.18,N,7
4604,23,69000.0,Rent,3.0,Education,B,15000.0,10.65,0,0.22,N,4
4605,22,60000.0,Rent,0.0,Education,B,15000.0,11.71,0,0.25,N,3
4606,37,50000.0,Mortgage,0.0,Personal,A,3200.0,7.51,0,0.06,N,17
4607,37,40000.0,Own,1.0,Venture,B,15000.0,11.48,0,0.38,N,14
4608,24,83500.0,Rent,1.0,Education,C,20000.0,13.48,0,0.24,N,3
4609,33,96000.0,Rent,14.0,Venture,A,20000.0,7.88,0,0.21,N,10
4610,23,42000.0,Mortgage,7.0,Venture,C,12000.0,15.23,0,0.29,Y,3
4611,22,46000.0,Mortgage,0.0,Medical,B,8000.0,12.53,1,0.17,N,3
4612,31,93900.0,Mortgage,13.0,Venture,F,24000.0,16.08,1,0.26,Y,6
4613,24,20400.0,Rent,3.0,Debtconsolidation,C,7550.0,14.79,1,0.37,Y,3
4614,25,120000.0,Rent,9.0,Debtconsolidation,B,11000.0,12.18,0,0.09,N,4
4615,22,65856.0,Mortgage,6.0,Medical,C,16800.0,13.92,0,0.26,N,2
4616,24,48000.0,Rent,0.0,Debtconsolidation,A,8000.0,7.51,0,0.17,N,4
4617,30,126000.0,Mortgage,6.0,Venture,B,8000.0,10.74,0,0.06,N,8
4618,42,36000.0,Rent,7.0,Medical,D,8400.0,16.32,1,0.23,Y,15
4619,25,35196.0,Rent,2.0,Medical,D,6000.0,14.54,1,0.17,N,3
4620,22,41000.0,Rent,7.0,Personal,A,4000.0,7.51,1,0.1,N,3
4622,31,72000.0,Mortgage,7.0,Venture,A,5000.0,6.92,0,0.07,N,10
4623,41,92000.0,Mortgage,15.0,Education,A,12000.0,7.66,0,0.13,N,13
4624,25,120000.0,Mortgage,7.0,Medical,A,4000.0,5.42,0,0.03,N,3
4625,25,66000.0,Rent,0.0,Homeimprovement,B,10000.0,0.0,0,0.15,N,3
4626,33,86000.0,Mortgage,5.0,Personal,D,15000.0,16.49,0,0.17,N,9
4627,30,68000.0,Rent,1.0,Venture,A,3000.0,5.42,0,0.04,N,9
4628,26,82000.0,Mortgage,1.0,Venture,C,5000.0,13.47,0,0.06,Y,2
4629,23,54000.0,Rent,7.0,Venture,C,16750.0,0.0,1,0.31,N,4
4630,32,131000.0,Mortgage,2.0,Debtconsolidation,B,11200.0,10.25,0,0.09,N,5
4631,23,47000.0,Mortgage,7.0,Medical,C,16000.0,14.35,1,0.34,Y,3
4632,55,48000.0,Rent,1.0,Education,B,5500.0,10.62,1,0.11,N,22
4633,23,69996.0,Rent,8.0,Education,B,13000.0,11.58,0,0.19,N,3
4634,23,57000.0,Mortgage,0.0,Venture,B,20000.0,11.99,0,0.35,N,2
4635,25,12000.0,Rent,2.0,Homeimprovement,B,2000.0,11.89,1,0.17,N,4
4636,24,70000.0,Mortgage,2.0,Homeimprovement,A,20300.0,12.99,0,0.29,N,3
4637,24,70000.0,Rent,0.0,Medical,C,6425.0,13.72,0,0.09,N,2
4638,22,80000.0,Mortgage,6.0,Education,B,35000.0,0.0,0,0.44,N,2
4639,27,34152.0,Rent,5.0,Education,C,5000.0,13.79,0,0.15,Y,9
4640,33,117000.0,Mortgage,2.0,Homeimprovement,A,18000.0,0.0,0,0.15,N,8
4641,32,48000.0,Rent,15.0,Venture,A,3600.0,6.92,0,0.08,N,6
4642,29,78996.0,Rent,0.0,Homeimprovement,D,15000.0,15.7,1,0.19,Y,7
4643,33,56136.0,Rent,12.0,Venture,E,19000.0,15.68,1,0.34,Y,5
4644,35,39000.0,Rent,8.0,Debtconsolidation,A,4500.0,6.62,0,0.12,N,6
4645,24,75000.0,Mortgage,8.0,Debtconsolidation,B,15000.0,12.21,0,0.2,N,3
4646,23,28000.0,Mortgage,5.0,Education,A,4000.0,6.92,0,0.14,N,4
4647,27,17000.0,Rent,2.0,Venture,D,4000.0,14.42,1,0.24,N,8
4648,24,100000.0,Mortgage,5.0,Venture,A,7000.0,6.76,0,0.07,N,3
4649,21,50000.0,Mortgage,5.0,Personal,B,7000.0,10.59,0,0.14,N,3
4650,32,36000.0,Mortgage,0.0,Debtconsolidation,C,1800.0,12.61,0,0.05,N,10
4651,32,84000.0,Rent,0.0,Personal,B,14400.0,11.99,0,0.17,N,6
4653,23,39996.0,Mortgage,3.0,Education,A,3600.0,7.51,0,0.09,N,4
4656,25,32400.0,Rent,6.0,Medical,B,4000.0,10.08,0,0.12,N,2
4657,21,12000.0,Rent,5.0,Venture,B,5000.0,11.49,1,0.42,N,2
4658,28,60000.0,Rent,12.0,Debtconsolidation,A,4600.0,7.88,0,0.08,N,8
4659,29,140000.0,Own,5.0,Venture,B,27000.0,9.91,0,0.19,N,7
4660,27,84906.0,Mortgage,11.0,Debtconsolidation,A,4500.0,7.51,0,0.05,N,10
4662,22,74800.0,Rent,3.0,Medical,D,20000.0,14.96,1,0.27,Y,4
4664,25,78000.0,Mortgage,0.0,Debtconsolidation,A,10000.0,5.79,0,0.13,N,2
4665,22,34000.0,Rent,6.0,Personal,B,5000.0,0.0,1,0.15,N,4
4666,22,88512.0,Mortgage,6.0,Education,A,3000.0,5.79,0,0.03,N,2
4667,22,60000.0,Mortgage,6.0,Medical,A,7000.0,7.14,0,0.12,N,3
4668,23,45000.0,Own,0.0,Education,C,15000.0,14.79,0,0.33,N,4
4669,30,24000.0,Rent,5.0,Medical,C,5500.0,13.23,0,0.23,Y,8
4670,33,53004.0,Rent,0.0,Education,C,20000.0,13.04,1,0.38,Y,9
4671,32,45576.0,Rent,1.0,Venture,B,4000.0,10.99,0,0.09,N,9
4672,28,53000.0,Rent,0.0,Personal,B,7000.0,9.88,0,0.13,N,6
4673,34,55000.0,Mortgage,6.0,Homeimprovement,C,2500.0,13.49,0,0.05,N,7
4674,24,63582.0,Mortgage,3.0,Homeimprovement,C,14000.0,13.85,1,0.22,N,3
4676,23,81500.0,Mortgage,4.0,Debtconsolidation,B,15000.0,10.0,0,0.18,N,4
4677,24,62400.0,Mortgage,3.0,Education,A,9500.0,6.54,0,0.15,N,2
4678,28,82000.0,Mortgage,8.0,Education,A,18000.0,7.66,0,0.22,N,9
4679,27,105000.0,Mortgage,3.0,Education,C,25000.0,12.23,0,0.24,N,5
4680,36,28800.0,Own,0.0,Homeimprovement,B,5375.0,11.11,0,0.19,N,13
4681,25,28800.0,Rent,0.0,Debtconsolidation,B,5500.0,9.76,0,0.19,N,4
4682,25,31000.0,Rent,0.0,Personal,A,5000.0,8.94,0,0.16,N,2
4683,22,36000.0,Mortgage,0.0,Education,C,11625.0,13.49,0,0.32,N,2
4684,24,44000.0,Rent,3.0,Education,B,3500.0,12.69,0,0.08,N,2
4685,43,98600.0,Mortgage,0.0,Medical,D,7750.0,15.31,1,0.08,Y,14
4686,25,42000.0,Mortgage,0.0,Debtconsolidation,B,3000.0,9.91,0,0.07,N,4
4687,22,44412.0,Rent,3.0,Personal,C,12000.0,13.11,0,0.27,Y,2
4688,23,19200.0,Mortgage,7.0,Debtconsolidation,A,3000.0,0.0,1,0.16,N,3
4689,32,34000.0,Rent,4.0,Venture,A,4000.0,7.74,0,0.12,N,10
4691,24,38400.0,Rent,8.0,Personal,E,9000.0,0.0,0,0.23,N,7
4692,22,37000.0,Rent,5.0,Education,B,6000.0,11.83,0,0.16,N,4
4695,22,18000.0,Rent,0.0,Personal,B,3600.0,0.0,1,0.2,N,2
4696,23,44400.0,Mortgage,3.0,Education,A,6500.0,7.51,0,0.15,N,4
4698,22,32400.0,Rent,6.0,Education,A,8000.0,7.9,0,0.25,N,2
4699,23,41000.0,Mortgage,7.0,Debtconsolidation,B,35000.0,0.0,0,0.85,N,4
4700,26,105000.0,Own,10.0,Venture,D,10000.0,15.65,0,0.1,Y,4
4701,22,48888.0,Rent,1.0,Personal,C,18400.0,13.16,1,0.38,N,2
4702,30,100000.0,Mortgage,14.0,Education,A,13000.0,7.88,0,0.13,N,9
4703,39,30500.0,Rent,3.0,Personal,A,3600.0,7.68,0,0.12,N,13
4704,49,110000.0,Mortgage,11.0,Homeimprovement,A,3000.0,7.51,0,0.03,N,16
4705,57,15000.0,Mortgage,1.0,Debtconsolidation,C,3000.0,12.68,1,0.2,N,23
4706,23,138000.0,Rent,7.0,Debtconsolidation,D,24000.0,16.0,1,0.17,Y,2
4707,24,118000.0,Mortgage,8.0,Homeimprovement,A,5000.0,5.42,0,0.04,N,2
4708,40,55000.0,Own,2.0,Homeimprovement,B,8000.0,11.36,0,0.15,N,17
4710,22,36000.0,Rent,6.0,Education,B,6000.0,10.75,0,0.17,N,3
4712,30,50000.0,Own,0.0,Venture,A,8000.0,5.79,0,0.16,N,8
4713,22,62589.0,Own,0.0,Venture,C,7000.0,13.35,0,0.11,Y,2
4714,34,120000.0,Mortgage,10.0,Education,B,20000.0,10.37,0,0.17,N,10
4715,26,95000.0,Rent,9.0,Homeimprovement,D,18000.0,15.31,0,0.19,N,3
4716,26,104004.0,Mortgage,10.0,Debtconsolidation,C,15000.0,14.22,0,0.14,N,2
4717,31,72500.0,Mortgage,12.0,Venture,B,8875.0,11.99,0,0.12,N,8
4718,22,75000.0,Rent,5.0,Education,B,7000.0,10.99,0,0.09,N,2
4719,24,62000.0,Rent,3.0,Homeimprovement,C,10000.0,13.49,0,0.16,Y,3
4720,26,50500.0,Rent,0.0,Homeimprovement,A,4050.0,7.88,0,0.08,N,4
4721,29,90000.0,Rent,0.0,Venture,B,23475.0,11.58,0,0.26,N,6
4722,23,55000.0,Rent,2.0,Education,A,2000.0,7.49,0,0.04,N,3
4723,23,62000.0,Rent,7.0,Venture,A,16000.0,7.49,0,0.26,N,2
4724,22,65000.0,Rent,6.0,Medical,A,16000.0,8.49,0,0.25,N,4
4725,24,66000.0,Rent,3.0,Education,B,25000.0,9.91,1,0.38,N,2
4727,33,34000.0,Rent,6.0,Debtconsolidation,B,8000.0,9.99,0,0.24,N,5
4728,23,23040.0,Own,0.0,Venture,B,2000.0,11.11,0,0.09,N,3
4729,24,58155.0,Rent,8.0,Homeimprovement,E,12950.0,0.0,0,0.22,N,4
4730,31,18996.0,Own,6.0,Homeimprovement,C,7000.0,0.0,1,0.37,N,8
4731,33,70000.0,Mortgage,3.0,Venture,C,20000.0,12.84,0,0.29,Y,7
